id,name,is_potentially_hazardous_asteroid,estimated_diameter_min_km,estimated_diameter_max_km,relative_velocity_km_sec,miss_distance_km,searching_date
2496816,496816 (1989 UP),True,0.2053784995,0.459240286,16.7129652052,48695062.76498717,2023-01-23
3144144,(2002 XU4),False,0.1108038821,0.2477650126,3.8821365566,37866743.373326381,2023-01-23
3694126,(2014 UU34),False,0.063760979,0.1425738833,4.6041024651,65948782.082387405,2023-01-23
3739963,(2016 AO164),False,0.1058168859,0.2366137501,17.1221069665,61775716.138412395,2023-01-23
3776853,(2017 NQ6),False,0.3471802221,0.776318577,20.9385864455,55227902.504660212,2023-01-23
3786458,(2017 UG),False,0.008405334,0.0187948982,11.3364827112,49709899.484768785,2023-01-23
3825627,(2018 NT3),False,0.0608912622,0.1361570015,10.1304349771,51256203.716065283,2023-01-23
3511355,(2010 DJ77),False,0.1080823992,0.2416795918,17.4504787252,29507526.773038728,2023-01-24
3656921,(2014 BH3),False,0.2538370294,0.5675968529,22.7430637554,68770760.967050511,2023-01-24
3778084,(2017 OO1),False,0.0334622374,0.0748238376,12.9112189788,32311392.153125003,2023-01-24
3825159,(2018 LS3),False,0.022108281,0.0494356193,8.9898732014,39519225.620362173,2023-01-24
3837588,(2019 AN2),False,0.0802703167,0.1794898848,5.0087524565,47279084.936801106,2023-01-24
3837910,(2019 AO13),False,0.0211132445,0.0472106499,12.6253149592,59234035.416816214,2023-01-24
3837987,(2019 BO2),False,0.0160160338,0.0358129403,16.2069839452,4634331.304000105,2023-01-24
3838075,(2019 BZ4),False,0.0149470324,0.0334225806,5.6031478034,6316309.957541028,2023-01-24
3989284,(2020 BW12),False,0.0160160338,0.0358129403,11.3125411543,34234783.711147798,2023-01-24
54217965,(2021 VP6),False,0.1266353563,0.283165265,10.2404116422,50761388.894443147,2023-01-24
54248647,(2022 DO4),False,0.009830033,0.0219806221,8.0375843092,54008632.3518767,2023-01-24
2467336,467336 (2002 LT38),True,0.2016299194,0.4508582062,9.5906531661,48994733.732540799,2023-01-25
2484462,484462 (2008 CM20),False,0.1363185559,0.3048175575,16.2137781491,42031666.899714522,2023-01-25
3422254,(2008 OC9),False,0.0608912622,0.1361570015,22.7274037806,49356833.865937312,2023-01-25
3485809,(2010 AO60),False,0.1139081967,0.2547064711,7.6803485015,21044004.748349506,2023-01-25
3557089,(2011 CO14),False,0.0253837029,0.0567596853,7.1753007375,11953275.253147274,2023-01-25
3595927,(2012 BX1),False,0.0291443905,0.0651688382,16.6492607406,31950507.233146074,2023-01-25
3730571,(2015 TQ237),False,0.058150704,0.130028927,7.2730608159,70578234.880168514,2023-01-25
3771633,(2017 FZ2),False,0.0127219879,0.0284472297,7.3556665055,41389595.564355756,2023-01-25
3841756,(2019 JN2),False,0.0192555078,0.0430566244,6.1277772335,36141324.969008042,2023-01-25
3986731,(2020 BO),False,0.022108281,0.0494356193,11.5324517469,23286861.301135193,2023-01-25
54111251,(2021 CO3),False,0.0185590173,0.0414992243,8.579237016,29746134.926895118,2023-01-25
54280494,(2022 KK4),False,0.031228777,0.0698296682,5.8990607176,40980903.159387956,2023-01-25
